DateTime,AddedIPs,RemovedIPs
1459858013,4080,2286
1459865213,6593,361
1459868808,1001,5
1459872408,2900,6
1459879609,2606,12
1459894005,2153,26
1459904811,977,4060
1459908398,801,314
1459911990,425,315
1459915606,286,221
1459919196,676,705
1459930015,1984,1463
1459937203,1007,1383
1459944410,2562,4310
1459948006,488,4169
1459966008,10564,56
1459969613,274,10
1459976819,997,16
1459984011,1111,13
1459987610,634,11318
1459994811,1376,880
1459998393,905,460
1460002007,587,398
1460020002,4430,2604
1460023621,589,549
1460027211,822,885
1460034410,7747,1576
1460048823,5137,47
1460052410,695,13
1460063208,1243,17
1460066814,376,6
1460074005,614,15109
1460077602,498,279
1460081207,501,452
1460084804,864,644
1460092019,1648,640
1460102824,2167,1807
1460106400,436,841
1460110020,1461,568
1460113622,741,333
1460117212,997,908
1460120804,804,1649
1460124413,882,15
1460128013,912,15
1460131629,720,19
1460138793,1158,31
1460146013,628,11
1460149601,256,7
1460153204,189,6
1460160394,529,13542
1460174851,2761,2645
1460178415,544,519
1460189223,2276,2972
1460192808,782,766
1460196406,552,818
1460214408,3730,4631
1460217860,923,7
1460221616,799,13
1460232417,1639,21
1460236018,351,4
1460239616,307,1
1460243232,293,15
1460254005,1248,12428
1460264824,1632,2156
1460268416,527,858
1460275612,1143,1540
1460290022,2592,3453
1460297221,1483,792
1460300824,831,11
1460311613,1694,13
1460318825,812,5
1460322409,317,3
1460326011,392,3
1460329611,397,9
1460333206,504,6002
1460362012,6082,4892
1460365600,370,877
1460372815,6,1412
1460376410,8279,519
1460383629,4889,689
1460387227,1724,22
1460398025,5235,31
1460408836,7290,30
1460412417,768,6
1460416032,722,11
1460419620,680,7113
1460426803,1790,832
1460434012,2061,1075
1460444825,3615,1605
1460455635,5484,2000
1460462806,2757,1190
1460470016,3162,732
1460480825,5432,57
1460488026,1828,22
1460495211,1472,16
1460498819,533,13
1460509613,2262,6067
1460513206,766,614
1460516809,787,1068
1460527614,4141,2132
1460534819,2073,1766
1460538406,930,744
1460545619,6661,1679
1460549221,2643,4124
1460560034,7095,2240
1460563603,3165,28
1460567215,3422,37
1460574437,4356,32
1460585232,2108,31
1460610428,10733,23086
1460614019,1402,1434
1460635625,8800,8712
1460639222,1790,1301
1460650024,5772,54
1460657221,1949,30
1460660810,849,18
1460668010,1350,20
1460682416,2265,13519
1460686023,855,1162
1460689619,1862,703
1460704028,3971,4893
1460707626,2522,954
1460711219,1433,1166
1460729230,6780,9859
1460732816,1444,19
1460740031,4282,45
1460743617,1222,7
1460747210,867,22
1460758023,2023,28
1460772416,2795,24001
1460779626,2993,2484
1460786831,2459,6318
1460797622,4102,3524
1460801211,2212,1283
1460804815,1101,1278
1460819228,3727,3954
1460822812,1565,19
1460826419,1079,3
1460830010,861,6
1460837220,1440,22
1460844428,560,18
1460848049,236,0
1460855193,706,13278
1460858811,724,602
1460873207,3191,4524
1460887618,3015,6042
1460891221,1005,1581
1460902022,2398,2503
1460909215,1537,17
1460923618,2817,24
1460927218,391,4
1460948824,3456,16476
1460959617,2154,4311
1460963226,3140,1240
1460966820,1050,2234
1460974029,2335,2105
1460981211,3700,3148
1460988420,3414,1179
1460999212,3623,55
1461010038,2178,41
1461013609,776,17
1461017211,442,20
1461028015,1648,8620
1461031621,663,431
1461035218,990,730
1461038820,774,678
1461046011,2380,1793
1461053208,1886,1600
1461063997,2917,2519
1461067623,3270,965
1461089225,8129,714
1461100068,2183,20
1461105020,2268,13
1461107197,1054,0
1461110799,1326,7258
1461114387,1075,407
1461121600,2425,1434
1461128809,2130,1987
1461132390,1059,1008
